0  467.908 0.978811 119.322 -0.614974  468.038 0.952872 128.449 -0.644422  468.151 0.974085 115.148 -0.109071  467.921 0.956406 121.668 -0.180806  
1  467.764 0.995614 172.705 0.118886  467.654 0.966846 161.516 -0.0132744  468.079 0.972215 127.494 0.0962124  467.11 0.961279 174.722 1.37657  
2  467.926 0.986622 130.243 -0.255842  467.874 0.955392 131.987 -0.177237  467.736 0.967214 160.226 0.176968  467.601 0.945134 177.871 0.103149  
3  467.793 0.966948 166.475 0.0551348  467.678 0.945882 185.972 -0.00191808  467.68 0.946665 172.306 0.319637  467.819 0.927739 124.038 0.00257302  
4  467.694 0.993651 176.401 0.0639163  467.19 0.963009 174.26 1.02293  467.392 0.981765 135.286 -0.186708  466.929 0.962281 179.516 1.63077  
5  467.613 0.963185 178.318 -0.0037088  467.979 0.95452 123.661 -0.385545  467.556 0.968992 161.083 1.07397  467.559 0.939238 129.292 1.07438  
6  467.955 0.970484 138.978 0.298781  466.886 0.962121 182.652 1.72536  468.006 0.970825 133.232 0.261263  467.719 0.949278 152.952 -0.707632  
7  467.669 0.984997 132.402 -0.143991  467.588 0.968542 168.636 -0.11127  468.097 0.974179 121.492 -0.156182  468.113 0.953176 124.573 -0.768056  
8  467.911 0.974659 131.546 0.00174047  467.703 0.945341 183.99 -0.00345842  467.94 0.949662 150.479 0.408917  467.8 0.933318 128.965 -0.125163  
9  467.529 0.983988 133.156 -0.0286107  467.458 0.964553 167.242 0.426615  467.705 0.95962 137.669 -0.653906  467.837 0.937701 124.039 0.271851  
10  467.938 0.975978 119.986 -0.218909  467.895 0.954142 126.3 -0.315641  467.989 0.976737 116.3 -0.39255  468.152 0.950914 131.307 -1.1321  
11  467.602 0.98053 142.041 -0.340144  467.055 0.961601 171.077 1.38943  467.904 0.954051 134.292 -0.0571686  467.682 0.945773 176.442 -0.00483018  
12  468.05 0.975527 117.277 -0.244401  467.517 0.945472 174.495 0.325074  467.771 0.965756 174.557 0.0991938  467.853 0.926078 119.901 -0.436182  
13  467.76 0.969343 148.564 0.672079  467.629 0.945902 185.312 -0.00262571  467.526 0.959968 132.825 -0.745653  467.478 0.932982 136.629 0.507968  
14  467.943 0.973135 132.544 -0.030715  467.623 0.945078 184.244 0.106356  467.406 0.961417 170.85 -0.0868607  467.6 0.945407 179.99 0.105854  
15  467.763 0.969397 152.969 0.709028  467.516 0.948276 168.66 -0.14606  467.381 0.960375 148.026 -0.535515  467.49 0.944381 175.368 0.423676  
16  468.009 0.971781 137.424 0.0511166  468.01 0.949956 148.41 -1.18298  467.151 0.960875 155.181 -0.3796  467.548 0.947417 177.797 0.0938272  
17  467.872 0.977718 127.318 -0.139032  467.986 0.953564 124.766 -0.531746  467.749 0.967447 169.427 0.151159  467.43 0.944298 182.06 0.541791  
18  467.581 0.967788 155.486 0.460023  467.522 0.963118 176.005 0.404374  467.646 0.968753 147.043 0.66549  468.32 0.952502 117.834 -1.24393  
19  467.88 0.984528 134.168 -0.0924707  467.611 0.947267 170.613 -0.0180991  467.08 0.961015 159.371 -0.330468  467.652 0.946008 177.115 0.107661  
20  468.053 0.971646 130.24 0.21939  467.507 0.948358 195.177 -0.0803714  467.742 0.964699 175.693 0.162526  466.997 0.933174 133.233 1.50492  
21  467.96 0.971731 131.21 0.102477  467.852 0.936507 126.549 -0.000726602  467.942 0.958718 122.76 -0.817473  468.13 0.923212 126.265 -0.993259  
22  467.924 0.970047 142.477 0.337477  468.104 0.952085 131.943 -0.841832  467.632 0.966507 167.478 0.293445  467.651 0.935174 128.27 0.276604  
23  467.935 0.97821 123.947 -0.36428  466.713 0.94174 180.787 2.05334  467.652 0.968411 158.97 0.463433  466.508 0.940777 155.831 2.90294  
